6;Jeune cerodon;vf;Alara reborn;nm;;Remi
1;Pillage;vf;Alliances;nm;;Remi
3;Hyena pack;vo;Amonkhet;nm;;Remi
1;Repos force;vf;Amonkhet;nm;;Remi
1;Khenra a la lame agile;vf;Amonkhet;nm;;Remi
1;Cartouche of ambition;vo;Amonkhet;nm;;Remi
4;Cartouche de solidarite;vf;Amonkhet;nm;;Remi
4;Flabellifere;vf;Amonkhet;nm;;Remi
4;Nimble-blade khenra;vo;Amonkhet;nm;;Remi
3;Compelling argument;vo;Amonkhet;nm;;Remi
3;Djeru's resolve;vo;Amonkhet;nm;;Remi
3;Au nom d'oketra;vf;Amonkhet;nm;;Remi
3;Momie d'entrainement;vf;Amonkhet;nm;;Remi
3;Naga oracle;vo;Amonkhet;nm;;Remi
3;Vents de blame;vf;Amonkhet;nm;;Remi
3;Cursed minotaur;vo;Amonkhet;nm;;Remi
3;Lecon douleureuse;vf;Amonkhet;nm;;Remi
3;Nef-crop entangler;vo;Amonkhet;nm;;Remi
3;Brume de pollent;vf;Amonkhet;nm;;Remi
3;Berceau des maudits;vf;Amonkhet;nm;;Remi
3;Promontoires peints;vf;Amonkhet;nm;;Remi
3;Desert brule par le soleil;vf;Amonkhet;nm;;Remi
2;Moment opportun;vf;Amonkhet;nm;;Remi
2;Impeccable timing;vo;Amonkhet;nm;;Remi
2;Sparring mummy;vo;Amonkhet;nm;;Remi
2;Ceux qui servent;vf;Amonkhet;nm;;Remi
2;Adepte inebranlable;vf;Amonkhet;nm;;Remi
2;Crabe ancien;vf;Amonkhet;nm;;Remi
2;Adepte avemain;vf;Amonkhet;nm;;Remi
2;Annuler;vf;Amonkhet;nm;;Remi
2;Hekma sentinels;vo;Amonkhet;nm;;Remi
2;River serpent;vo;Amonkhet;nm;;Remi
2;Serpent du fleuve;vf;Amonkhet;nm;;Remi
2;Scribe du clairvoyant;vf;Amonkhet;nm;;Remi
2;Shimmerscale drake;vo;Amonkhet;nm;;Remi
2;Assaillante de la moisson tah;vf;Amonkhet;nm;;Remi
2;Minotaure maudit;vf;Amonkhet;nm;;Remi
2;Scarabee des dunes;vf;Amonkhet;nm;;Remi
2;Horror of the broken lands;vo;Amonkhet;nm;;Remi
2;Trespasser's curse;vo;Amonkhet;nm;;Remi
2;Incitateur a la soif de sang;vf;Amonkhet;nm;;Remi
2;Brute strength;vo;Amonkhet;nm;;Remi
2;Minotaure cornebraise;vf;Amonkhet;nm;;Remi
2;Jet;vf;Amonkhet;nm;;Remi
2;Manticore de la gehenne;vf;Amonkhet;nm;;Remi
2;Minotaur sureshot;vo;Amonkhet;nm;;Remi
2;Buteuse minotaure;vf;Amonkhet;nm;;Remi
2;Enchevetreur de la moisson nef;vf;Amonkhet;nm;;Remi
2;Voix lancinante;vf;Amonkhet;nm;;Remi
2;Impact violent;vf;Amonkhet;nm;;Remi
2;Benefaction of rhonas;vo;Amonkhet;nm;;Remi
2;Guerrier aprelame;vf;Amonkhet;nm;;Remi
2;Giant spider;vo;Amonkhet;nm;;Remi
2;Don de paradis;vf;Amonkhet;nm;;Remi
2;Hooded brawler;vo;Amonkhet;nm;;Remi
2;Naga vitalist;vo;Amonkhet;nm;;Remi
2;Oashra cultivator;vo;Amonkhet;nm;;Remi
2;Faiblesse en mue;vf;Amonkhet;nm;;Remi
2;Tir cinglant;vf;Amonkhet;nm;;Remi
2;Honed khopesh;vo;Amonkhet;nm;;Remi
2;Luxa river shrine;vo;Amonkhet;nm;;Remi
1;Slither blade;vo;Amonkhet;nm;;Remi
1;Anointer priest;vo;Amonkhet;nm;;Remi
1;Compulsory reset;vo;Amonkhet;nm;;Remi
1;Resolution de djeru;vf;Amonkhet;nm;;Remi
1;Fan bearer;vo;Amonkhet;nm;;Remi
1;Gust walker;vo;Amonkhet;nm;;Remi
1;Marcheur des rafales;vf;Amonkhet;nm;;Remi
1;Sacre saut;vf;Amonkhet;nm;;Remi
1;Foi renouvelee;vf;Amonkhet;nm;;Remi
1;Sacred cat;vo;Amonkhet;nm;;Remi
1;Seraphin des soleils;vf;Amonkhet;nm;;Remi
1;Supply caravan;vo;Amonkhet;nm;;Remi
1;Elite de la moisson tah;vf;Amonkhet;nm;;Remi
1;Unwavering initiate;vo;Amonkhet;nm;;Remi
1;Aven initiate;vo;Amonkhet;nm;;Remi
1;Cancel;vo;Amonkhet;nm;;Remi
1;Argument irresistible;vf;Amonkhet;nm;;Remi
1;Paralysie decisionnelle;vf;Amonkhet;nm;;Remi
1;Decision paralysis;vo;Amonkhet;nm;;Remi
1;Dispersion d'essence;vf;Amonkhet;nm;;Remi
1;Bandelettes illusoires;vf;Amonkhet;nm;;Remi
1;Illumination hieroglyphique;vf;Amonkhet;nm;;Remi
1;Vigile du labyrinthe;vf;Amonkhet;nm;;Remi
1;Scribe of the mindful;vo;Amonkhet;nm;;Remi
1;Lame rampante;vf;Amonkhet;nm;;Remi
1;Tah-crop skirmisher;vo;Amonkhet;nm;;Remi
1;Winds of rebuke;vo;Amonkhet;nm;;Remi
1;Zenith seeker;vo;Amonkhet;nm;;Remi
1;Dune beetle;vo;Amonkhet;nm;;Remi
1;Festering mummy;vo;Amonkhet;nm;;Remi
1;Recompense finale;vf;Amonkhet;nm;;Remi
1;Grim strider;vo;Amonkhet;nm;;Remi
1;Painful lesson;vo;Amonkhet;nm;;Remi
1;Splendid agony;vo;Amonkhet;nm;;Remi
1;Vigueur surnaturelle;vf;Amonkhet;nm;;Remi
1;Supernatural stamina;vo;Amonkhet;nm;;Remi
1;Unburden;vo;Amonkhet;nm;;Remi
1;Wander in death;vo;Amonkhet;nm;;Remi
1;Errance dans la mort;vf;Amonkhet;nm;;Remi
1;Blazing volley;vo;Amonkhet;nm;;Remi
1;Volee brulante;vf;Amonkhet;nm;;Remi
1;Bloodlust inciter;vo;Amonkhet;nm;;Remi
1;Bloodrage brawler;vo;Amonkhet;nm;;Remi
1;Cartouche of zeal;vo;Amonkhet;nm;;Remi
1;Ferveur devorante;vf;Amonkhet;nm;;Remi
1;Cerodon du desert;vf;Amonkhet;nm;;Remi
1;Electrifier;vf;Amonkhet;nm;;Remi
1;Adepte ouvrevoie;vf;Amonkhet;nm;;Remi
1;Courir apres la gloire;vf;Amonkhet;nm;;Remi
1;Pursue glory;vo;Amonkhet;nm;;Remi
1;Thresher lizard;vo;Amonkhet;nm;;Remi
1;Lezard batteur;vf;Amonkhet;nm;;Remi
1;Tormenting voice;vo;Amonkhet;nm;;Remi
1;Bienfait de rhonas;vf;Amonkhet;nm;;Remi
1;Blitterblade warrior;vo;Amonkhet;nm;;Remi
1;Colossapede;vf;Amonkhet;nm;;Remi
1;Greater sandwurm;vo;Amonkhet;nm;;Remi
